wavelength,front_ref,transmittance
623,0.046980015,0.037759325
624,0.046759799,0.037381852
625,0.0465889,0.037117046
626,0.046445295,0.0368697
627,0.046334189,0.036706885
628,0.046240589,0.036602932
629,0.046144634,0.036465783
630,0.04606313,0.03635346
631,0.045954127,0.036193225
632,0.045815781,0.035952755
633,0.045637859,0.035642798
634,0.045417862,0.035200744
635,0.045123252,0.034626492
636,0.044783336,0.033941283
637,0.044366135,0.03308707
638,0.043916496,0.032112756
639,0.043419502,0.031018732
640,0.042895772,0.029840057
641,0.04237548,0.028601807
642,0.041842191,0.027329947
643,0.041334425,0.026038145
644,0.040853315,0.024757534
645,0.040405106,0.023529105
646,0.039995884,0.022365676
647,0.039648525,0.02128519
648,0.039340984,0.020303921
649,0.039079849,0.019436985
650,0.038858295,0.018672857
651,0.038687991,0.018008467
652,0.038535615,0.017406264
653,0.03840699,0.01682105
654,0.038279984,0.016236231
655,0.038153475,0.015619982
656,0.038029224,0.014946016
657,0.037912222,0.014194357
658,0.037810422,0.013380602
659,0.037719721,0.012523962
660,0.037668901,0.011626651
661,0.037644777,0.010718472
662,0.037676311,0.009834579
663,0.037758122,0.008994517
664,0.037882064,0.008211911
665,0.038057454,0.007511538
666,0.038268308,0.006889506
667,0.038517076,0.006354872
668,0.038802969,0.005908778
669,0.039095791,0.005543801
670,0.039405226,0.005253131
671,0.039714279,0.005028217
672,0.040032395,0.004860358
673,0.040370094,0.004743073
674,0.040712246,0.004671227
675,0.041057097,0.004640023
676,0.041418346,0.004650261
677,0.041771889,0.004707381
678,0.042121042,0.004818931
679,0.042447032,0.005003284
680,0.042722048,0.005288565
681,0.042946112,0.005703424
682,0.043074786,0.006295717
683,0.043131785,0.007110864
684,0.043134562,0.008235017
685,0.043120193,0.009729543
686,0.043151727,0.011704423
687,0.04335625,0.014276491
688,0.043872414,0.017544373
689,0.044811044,0.021623706
690,0.04635233,0.026605844
691,0.048614049,0.032555275
692,0.051693585,0.039483179
693,0.055665275,0.047371769
694,0.060571412,0.056165757
695,0.066417894,0.065808018
696,0.073142768,0.07611896
697,0.080716456,0.087077511
698,0.089042656,0.098454809
699,0.097987285,0.110133577
700,0.107501899,0.122022259
701,0.117441235,0.134040229
702,0.127580066,0.145872162
703,0.137920496,0.157616032
704,0.148332749,0.169132628
705,0.158726158,0.180380757
706,0.169110037,0.191342074
707,0.179447892,0.202088008
708,0.189742247,0.212639533
709,0.199967249,0.222879519
710,0.210158028,0.233013463
711,0.220269898,0.242899528
712,0.230338769,0.252639441
713,0.240355837,0.262232883
714,0.250325398,0.271692603
715,0.260199423,0.280975318
716,0.270049318,0.290105427
717,0.279747135,0.299069716
718,0.289305766,0.307831299
719,0.2987796,0.316452153
720,0.308066664,0.324832008
721,0.317175982,0.333045511
722,0.326110368,0.341040879
723,0.334797193,0.348809097
724,0.343244444,0.356302379
725,0.35150706,0.36358012
726,0.359406069,0.370526165
727,0.367059496,0.377264196
728,0.374379647,0.383647041
729,0.381425845,0.38979964
730,0.388158131,0.395684735
731,0.394556017,0.401221671
732,0.40070715,0.406563137
733,0.406525041,0.411624603
734,0.412000061,0.416335199
735,0.417141017,0.420768517
736,0.421969033,0.424947185
737,0.426501353,0.428889718
738,0.430734876,0.432594191
739,0.434716545,0.436044558
740,0.438398081,0.439257263
741,0.441788907,0.442242503
742,0.444926023,0.445037733
743,0.447823942,0.447593889
744,0.450481324,0.449974086
745,0.452913676,0.452194179
746,0.455149453,0.454218513
747,0.457137097,0.456060482
748,0.458924503,0.457767917
749,0.460552875,0.459317448
750,0.46197213,0.460724076
751,0.463390564,0.462065174
752,0.464725264,0.463387814
753,0.46599221,0.464643264
754,0.46720048,0.465840527
755,0.468310864,0.467005686
756,0.469398027,0.468082935
757,0.470394283,0.469135135
758,0.471329186,0.47012664
759,0.472206662,0.471061336
760,0.473027589,0.471940084
761,0.473793166,0.472764071
762,0.474475358,0.473570902
763,0.475133149,0.47428829
764,0.475709891,0.474990945
765,0.476235629,0.475643233
766,0.476713383,0.476248135
767,0.477172414,0.476768926
768,0.477526511,0.477317281
769,0.477864507,0.477784098
770,0.478158219,0.478207145
771,0.478410444,0.478589181
772,0.478592385,0.478967645
773,0.478767618,0.479273606
774,0.478876946,0.479580422
775,0.478981976,0.479816988
776,0.479022691,0.480056067
777,0.479061958,0.480227597
778,0.479072117,0.480370317
779,0.479025364,0.480523
780,0.478983341,0.480614102
781,0.478927915,0.480691964
782,0.47887161,0.480769023
783,0.47881401,0.480844865
784,0.478757211,0.480921572
785,0.478704148,0.481002061
786,0.478657331,0.481088827
787,0.478610472,0.481175623
788,0.478522301,0.481288176
789,0.478465708,0.481365473
790,0.478449538,0.481416204
791,0.478395814,0.481496459
792,0.478348746,0.481583404
793,0.478296614,0.481665385
794,0.478241096,0.481744069
795,0.478187211,0.481824449
796,0.478132868,0.481904444
797,0.478078904,0.481984886
798,0.478022811,0.482063281
799,0.477970438,0.482145449
800,0.47795405,0.482196311
801,0.477893263,0.482270213
802,0.477833275,0.48234498
803,0.47777784,0.482424349
804,0.477754279,0.482468199
805,0.477693362,0.482542217
806,0.477629908,0.482613778
807,0.477571003,0.48268994
808,0.477516644,0.4827707
809,0.477480076,0.482801755
810,0.477418579,0.482875511
811,0.4773874,0.482911987
812,0.477320854,0.482980817
813,0.477284655,0.483012343
814,0.477216812,0.483079984
815,0.477150185,0.483148906
816,0.4771127,0.483179235
817,0.477038542,0.483240754
818,0.476995634,0.483265727
819,0.476930161,0.483336005
820,0.476891388,0.483365152
821,0.476804273,0.483413953
822,0.476748878,0.483426572
823,0.476674189,0.483487864
824,0.476594495,0.48354423
825,0.476488655,0.48357458
826,0.476395532,0.483549667
827,0.476307522,0.483597894
828,0.476241354,0.483599916
829,0.476098277,0.483593283
830,0.47599164,0.483623073
831,0.475925915,0.483625607
832,0.475796138,0.483632387
833,0.475703991,0.483608585
834,0.475649452,0.48362234
835,0.475601519,0.483642707
836,0.475503169,0.483681007
837,0.475454816,0.483701002
838,0.475381613,0.483764513
839,0.475327474,0.483778777
840,0.475248049,0.483836175
841,0.475207092,0.483863654
842,0.475132575,0.483926056
843,0.475084596,0.483946572
844,0.475014569,0.484013563
845,0.474975633,0.484043164
846,0.474896094,0.484100754
847,0.474859607,0.484132855
848,0.474787433,0.484197909
849,0.474733241,0.484212362
850,0.474672127,0.484288576
851,0.474630664,0.484315806
852,0.474586318,0.484340171
853,0.47454731,0.484369888
854,0.474480772,0.484440856
855,0.474438456,0.484467318
856,0.47438464,0.484482295
857,0.474349293,0.484515761
858,0.474281858,0.484586006
859,0.474228027,0.484601033
860,0.474156037,0.484666826
861,0.474087705,0.48473635
862,0.474040002,0.484757591
863,0.473967527,0.484823074
864,0.473925544,0.48485009
865,0.473872088,0.48486564
866,0.473850384,0.484843916
867,0.473805121,0.484867682
868,0.473767631,0.484899245
869,0.473732588,0.484933277
870,0.47365307,0.484991948
871,0.473588148,0.484996114
872,0.473510644,0.485056904
873,0.473435974,0.485120601
874,0.473377177,0.48513098
875,0.47329471,0.48518697
876,0.473244893,0.485206393
877,0.473154639,0.485254684
878,0.473107262,0.485276599
879,0.473022693,0.485330687
880,0.472952468,0.485329756
881,0.472869099,0.485385146
882,0.472820887,0.485406323
883,0.472756783,0.485411588
884,0.472667271,0.485460954
885,0.472587917,0.485520572
886,0.472543753,0.485545909
887,0.472456631,0.485597842
888,0.472387238,0.485597927
889,0.472305381,0.48565524
890,0.472256315,0.48567576
891,0.472154518,0.485713173
892,0.472098946,0.485727216
893,0.472023932,0.485791599
894,0.47198134,0.485818715
895,0.471893299,0.485870133
896,0.471824326,0.485870824
897,0.471743564,0.485929646
898,0.471694052,0.485949919
899,0.471592996,0.485988472
900,0.471541857,0.48600716
901,0.471489096,0.486024236
902,0.471382761,0.48605762
903,0.47132069,0.486065394
904,0.471241858,0.486126496
905,0.471198792,0.486153407
906,0.471138335,0.486162867
907,0.471021066,0.486185495
908,0.470952942,0.486187297
909,0.470869201,0.486243706
910,0.470817633,0.486262191
911,0.470712071,0.486296773
912,0.470610885,0.48626544
913,0.470494859,0.486289595
914,0.470432011,0.486296837
915,0.470372391,0.486307338
916,0.47024269,0.486317868
917,0.470092529,0.486237378
918,0.469944814,0.486229871
919,0.469865144,0.486220293
920,0.469753251,0.486248898
921,0.469611368,0.486176784
922,0.469359511,0.486064668
923,0.469168382,0.486013682
924,0.469042018,0.485957214
925,0.468857081,0.485912521
926,0.468672642,0.485868374
927,0.468544492,0.485810151
928,0.468324558,0.485659545
929,0.467937091,0.485411068
930,0.467697791,0.485240948
